Price,Type,Rooms,Bathroom,Car,BuildingArea,Regionname,YearBuilt
1035000,3,2,1,0.0,79.0,5,1900.0
1465000,3,3,2,0.0,150.0,5,1900.0
1600000,3,4,1,2.0,142.0,5,2014.0
1876000,3,3,2,0.0,210.0,5,1910.0
1636000,3,2,1,2.0,107.0,5,1890.0
1097000,3,2,1,2.0,75.0,5,1900.0
1350000,3,3,2,2.0,190.0,5,2005.0
750000,1,2,2,1.0,94.0,5,2009.0
1310000,3,2,1,2.0,97.0,5,1890.0
1200000,3,3,2,1.0,110.0,5,1880.0
1176500,3,3,1,1.0,105.0,5,1890.0
890000,3,2,1,1.0,73.0,5,1985.0
1330000,3,4,2,2.0,135.0,5,1900.0
500000,1,2,1,1.0,60.0,5,1970.0
1100000,3,2,2,1.0,135.0,5,2013.0
1315000,3,2,1,0.0,85.0,5,1900.0
1447500,3,3,3,1.0,174.0,5,2012.0
1135000,3,2,2,2.0,128.0,5,1920.0
1290000,3,3,1,1.0,124.0,5,1950.0
470000,1,1,1,1.0,50.0,5,2013.0
1180000,3,2,1,0.0,91.0,5,1900.0
1195000,3,3,2,1.0,128.0,5,1998.0
1012500,3,2,1,0.0,82.0,5,1900.0
1030000,3,2,1,1.0,81.0,5,1930.0
840000,2,3,2,1.0,225.0,4,2016.0
730000,3,3,2,1.0,145.0,4,1965.0
770000,3,3,2,1.0,145.0,4,1965.0
603000,3,2,1,1.0,84.0,4,1950.0
700000,2,3,2,2.0,134.0,4,2009.0
600000,3,3,1,1.0,116.0,4,1980.0
500000,1,2,1,1.0,86.0,4,2011.0
450000,2,2,1,1.0,90.0,4,2015.0
515000,1,2,1,1.0,73.0,4,2013.0
530000,1,2,1,1.0,94.0,4,2012.0
805000,3,3,1,1.0,105.0,4,1950.0
752000,1,3,1,1.0,130.0,4,1993.0
700000,2,3,2,2.0,133.0,4,2009.0
830000,3,3,1,2.0,113.0,4,1960.0
675000,3,2,1,1.0,100.0,4,1975.0
810000,3,3,3,2.0,192.0,4,1980.0
715000,3,3,2,2.0,126.0,4,1995.0
540000,2,3,2,1.0,101.0,4,2010.0
825000,2,3,2,1.0,102.0,4,1960.0
685000,3,3,1,1.0,113.0,4,1975.0
900000,3,4,2,3.0,146.0,4,1975.0
1275000,3,2,1,0.0,82.0,8,1900.0
1850000,3,3,2,0.0,133.0,8,1890.0
1436000,3,2,1,0.0,81.0,8,1900.0
2300000,3,4,2,1.0,180.0,8,1880.0
1800000,3,3,2,1.0,159.0,8,1996.0
2120000,3,2,1,1.0,107.0,8,1900.0
1800000,3,3,2,1.0,122.0,8,1900.0
1370000,3,3,2,2.0,85.0,8,2000.0
1322500,3,2,1,0.0,98.0,8,1890.0
1562500,3,2,1,0.0,83.0,8,1890.0
2000000,3,3,2,1.0,147.0,8,1900.0
2100000,3,3,1,1.0,123.0,8,1900.0
2000000,3,3,1,1.0,131.0,8,1890.0
442500,1,1,1,0.0,34.0,8,1970.0
2140000,3,4,2,1.0,145.0,8,1880.0
980000,3,2,1,0.0,68.0,8,1890.0
1740000,3,3,2,2.0,134.0,8,1890.0
985000,3,1,1,0.0,54.0,8,1900.0
1717500,3,4,2,1.0,203.0,5,1925.0
525500,1,2,1,1.0,60.0,5,1960.0
805000,2,2,2,3.0,140.0,5,2004.0
1830000,3,4,2,2.0,112.0,5,1970.0
865000,3,3,1,1.0,131.0,5,2010.0
390000,1,2,1,1.0,60.0,5,1960.0
512000,1,2,1,1.0,61.0,5,1965.0
1950000,3,4,2,3.0,210.0,5,1920.0
520000,3,3,2,1.0,242.0,4,2015.0
720000,2,2,1,2.0,125.0,4,2013.0
1120000,3,3,1,2.0,120.0,4,1930.0
630000,1,3,1,2.0,94.0,4,1955.0
660000,3,3,1,1.0,123.0,4,1955.0
580000,1,2,1,1.0,93.0,4,1988.0
510000,1,2,1,1.0,76.0,4,1990.0
425000,1,2,1,2.0,57.0,4,1980.0
391000,1,2,1,1.0,65.0,4,1965.0
845000,3,4,1,2.0,130.0,4,1950.0
730000,1,3,2,1.0,141.0,4,2014.0
447000,1,2,1,1.0,77.0,4,1990.0
678000,3,3,1,2.0,87.0,4,1950.0
580000,1,2,2,1.0,76.0,4,2013.0
840000,3,3,2,2.0,136.0,4,1965.0
577000,1,3,2,1.0,113.0,4,2007.0
857000,3,2,2,1.0,100.0,4,1950.0
730000,1,3,2,1.0,3.0,4,2014.0
535600,3,2,1,1.0,91.0,4,1996.0
781000,3,3,1,2.0,117.0,4,1970.0
421000,2,2,1,1.0,77.0,4,2009.0
683000,3,3,1,2.0,167.0,4,1967.0
720000,3,3,2,1.0,130.0,4,2012.0
588000,3,3,1,1.0,118.0,4,1970.0
710000,3,3,1,3.0,116.0,4,1960.0
675000,3,3,2,2.0,109.0,4,2012.0
